points,Bordeaux-style Red Blend,Cabernet Sauvignon,Chardonnay,Pinot Noir,Red Blend
80,5.0,89.0,70.0,36.0,75.0
81,23.0,160.0,154.0,86.0,108.0
82,83.0,436.0,523.0,296.0,233.0
83,122.0,571.0,686.0,350.0,366.0
84,334.0,925.0,1170.0,757.0,623.0
85,379.0,1058.0,1299.0,903.0,608.0
86,467.0,1205.0,1525.0,1260.0,919.0
87,679.0,1589.0,1887.0,1784.0,1375.0
88,741.0,1160.0,1513.0,1586.0,1366.0
89,724.0,920.0,1039.0,1223.0,1013.0
90,901.0,1341.0,1435.0,1646.0,1132.0
91,821.0,825.0,938.0,1124.0,881.0
92,733.0,1018.0,953.0,1173.0,620.0
93,556.0,653.0,671.0,992.0,395.0
94,338.0,440.0,325.0,621.0,190.0
95,220.0,233.0,188.0,269.0,88.0
96,124.0,102.0,73.0,105.0,30.0
97,67.0,56.0,23.0,56.0,27.0
98,22.0,12.0,7.0,20.0,6.0
99,8.0,4.0,,2.0,5.0
100,,3.0,3.0,2.0,2.0
